,0,1,2,3,4,5,6
0,삼척연안2_연안,투명도[m],1.043568793665401,0.5,0.9,additive,9.557908395487209
1,삼척연안2_연안,화학적산소요구량[mg/L],0.4928028457556412,0.7,0.8,additive,1.2264696555023429
2,삼척연안2_연안,염분[psu],1.941786293829471,0.3,0.8,additive,33.67066924748385
3,삼척연안2_연안,클로로필-a[μg/L],0.6341134187278741,0.3,0.8,multiplicative,1.3928572324535267
4,삼척연안2_연안,총인[μg/L],0.38252304825190275,0.7,0.8,multiplicative,18.6746849108967
5,삼척연안2_연안,수온[℃],0.4830235812635541,0.7,0.9,additive,16.772677705108332
6,삼척연안2_연안,총질소[μg/L],0.8446826542748254,0.7,0.9,additive,165.19664377286875
7,삼척연안2_연안,용존산소[mg/L],1.0702999008317777,0.7,0.8,multiplicative,8.7772646857595
0,삼척연안3_연안,투명도[m],0.7859421665332024,0.3,0.8,additive,10.924201398978981
1,삼척연안3_연안,화학적산소요구량[mg/L],0.31987314909494696,0.7,0.8,additive,1.6009792459167511
2,삼척연안3_연안,염분[psu],2.2747982095603305,0.5,0.8,multiplicative,33.48242111037201
3,삼척연안3_연안,클로로필-a[μg/L],0.7765805703937825,0.7,0.9,additive,0.8272166301552029
4,삼척연안3_연안,총인[μg/L],0.5566463488350241,0.3,0.8,multiplicative,17.08364830403566
5,삼척연안3_연안,수온[℃],0.4240492234445451,0.7,0.9,additive,17.213130253402785
6,삼척연안3_연안,총질소[μg/L],0.8040313226836613,0.5,0.9,additive,152.84288286793125
7,삼척연안3_연안,용존산소[mg/L],0.9155597945699541,0.7,0.8,multiplicative,8.751297790427481
0,속초연안2_연안,투명도[m],0.46762079966834286,0.5,0.9,additive,9.410566402536645
1,속초연안2_연안,화학적산소요구량[mg/L],0.5882517788198104,0.7,0.9,multiplicative,0.7272197262144535
2,속초연안2_연안,염분[psu],0.9018326472211504,0.7,0.8,multiplicative,33.8330333023066
3,속초연안2_연안,클로로필-a[μg/L],0.9054116306457766,0.7,0.9,additive,-0.17083167465354554
4,속초연안2_연안,총인[μg/L],0.3443078467370285,0.7,0.9,multiplicative,17.55228858706727
5,속초연안2_연안,수온[℃],0.5400057461513531,0.7,0.9,additive,15.618903692780513
6,속초연안2_연안,총질소[μg/L],0.7666478509763791,0.3,0.8,multiplicative,183.62565718195617
7,속초연안2_연안,용존산소[mg/L],0.3175166603202091,0.7,0.8,multiplicative,8.890636239991156
0,속초연안3_연안,투명도[m],0.6908557390656808,0.5,0.9,additive,10.425557659530543
1,속초연안3_연안,화학적산소요구량[mg/L],1.0233587007079548,0.7,0.9,multiplicative,0.9056679215946289
2,속초연안3_연안,염분[psu],0.8722766987728157,0.3,0.8,multiplicative,33.66473993350238
3,속초연안3_연안,클로로필-a[μg/L],1.3452734940986004,0.7,0.8,additive,-0.45881133424401566
4,속초연안3_연안,총인[μg/L],0.3405389727247808,0.3,0.9,multiplicative,15.576601469499238
5,속초연안3_연안,수온[℃],0.5652537551246511,0.7,0.9,additive,15.504706074652837
6,속초연안3_연안,총질소[μg/L],0.7280531203266615,0.5,0.8,multiplicative,168.5672388349228
7,속초연안3_연안,용존산소[mg/L],0.3200878259825825,0.7,0.8,multiplicative,8.742236039455111
0,속초연안4_연안,투명도[m],0.8110712224125417,0.7,0.8,additive,12.011230567049534
1,속초연안4_연안,화학적산소요구량[mg/L],0.5251337216725811,0.7,0.9,additive,0.9575365041356121
2,속초연안4_연안,염분[psu],0.7627142774019275,0.3,0.9,multiplicative,33.548441304179036
3,속초연안4_연안,클로로필-a[μg/L],1.187633104113109,0.7,0.9,additive,0.4072663851306029
4,속초연안4_연안,총인[μg/L],0.4035126671776338,0.5,0.9,multiplicative,15.28066995622676
5,속초연안4_연안,수온[℃],0.5018183927136706,0.7,0.9,additive,16.71477298847943
6,속초연안4_연안,총질소[μg/L],0.6818179376181043,0.5,0.9,multiplicative,168.75515931619577
7,속초연안4_연안,용존산소[mg/L],0.4803609178775665,0.7,0.9,multiplicative,8.863875991108092
0,신안연안1_연안,투명도[m],0.6241871806250914,0.5,0.8,multiplicative,1.2017359182465501
1,신안연안1_연안,화학적산소요구량[mg/L],0.590702392377089,0.7,0.8,additive,1.5044261684097808
2,신안연안1_연안,염분[psu],1.444889422757566,0.5,0.8,multiplicative,31.93945663667065
3,신안연안1_연안,클로로필-a[μg/L],2.0886503889131975,0.7,0.8,multiplicative,0.05087052549370691
4,신안연안1_연안,총인[μg/L],0.6801735002994747,0.3,0.9,multiplicative,25.889063573625418
5,신안연안1_연안,수온[℃],0.9467174808886557,0.7,0.9,multiplicative,15.26303177921748
6,신안연안1_연안,총질소[μg/L],0.5548680696411676,0.7,0.9,multiplicative,389.329362383074
7,신안연안1_연안,용존산소[mg/L],0.2113903727819806,0.7,0.9,additive,8.488049534596918
0,신안연안2_연안,투명도[m],1.102503616371874,0.5,0.9,additive,1.1865762101595183
1,신안연안2_연안,화학적산소요구량[mg/L],0.408379296609743,0.3,0.8,additive,1.4507878503456115
2,신안연안2_연안,염분[psu],1.184300022129545,0.3,0.8,multiplicative,32.39918378850917
3,신안연안2_연안,클로로필-a[μg/L],2.8543609834438612,0.7,0.8,multiplicative,0.7027337357262653
4,신안연안2_연안,총인[μg/L],0.34763904912680854,0.5,0.9,multiplicative,22.498418290972417
5,신안연안2_연안,수온[℃],1.0225581689253183,0.7,0.9,additive,16.35016279477286
6,신안연안2_연안,총질소[μg/L],0.25174704308989015,0.3,0.9,multiplicative,350.5122807954499
7,신안연안2_연안,용존산소[mg/L],0.4677392427315261,0.7,0.9,multiplicative,8.478291380155001
0,양양연안1_연안,투명도[m],0.9503275431174445,0.7,0.9,additive,11.41452612242427
1,양양연안1_연안,화학적산소요구량[mg/L],1.1104389640361303,0.5,0.8,multiplicative,1.0003234047884808
2,양양연안1_연안,염분[psu],0.9571909515758967,0.3,0.9,multiplicative,33.74782528970869
3,양양연안1_연안,클로로필-a[μg/L],1.1446855183063713,0.5,0.8,additive,-0.5530952552311506
4,양양연안1_연안,총인[μg/L],0.44139737519965755,0.3,0.8,multiplicative,16.36760320056461
5,양양연안1_연안,수온[℃],0.4554296191224695,0.7,0.9,additive,16.684144569524207
6,양양연안1_연안,총질소[μg/L],0.6433849859229487,0.3,0.9,multiplicative,157.1946972413858
7,양양연안1_연안,용존산소[mg/L],0.23239536383523315,0.7,0.8,multiplicative,8.863473326762621
0,양양연안2_연안,투명도[m],0.8093472451612552,0.3,0.9,additive,10.439765392764727
1,양양연안2_연안,화학적산소요구량[mg/L],0.7484235057535195,0.7,0.8,additive,1.190660106954093
2,양양연안2_연안,염분[psu],0.6087070205734434,0.3,0.9,multiplicative,33.75583399515819
3,양양연안2_연안,클로로필-a[μg/L],1.6593824947671874,0.7,0.8,additive,-0.7678791186626661
4,양양연안2_연안,총인[μg/L],0.5043341157059322,0.7,0.8,multiplicative,18.03982530135123
5,양양연안2_연안,수온[℃],0.4926540532302215,0.7,0.8,additive,16.41146877948607
6,양양연안2_연안,총질소[μg/L],0.7433699321175452,0.7,0.9,multiplicative,156.65472248843724
7,양양연안2_연안,용존산소[mg/L],0.36425033456193856,0.7,0.8,multiplicative,8.808861068655611
0,여수연안1_연안,투명도[m],1.045287061199481,0.3,0.8,multiplicative,3.3165019024753635
1,여수연안1_연안,화학적산소요구량[mg/L],1.0234340116099192,0.7,0.8,multiplicative,1.797460969650028
2,여수연안1_연안,염분[psu],2.933216802623061,0.3,0.8,multiplicative,32.06837656407114
3,여수연안1_연안,클로로필-a[μg/L],4.452362988956005,0.3,0.8,additive,2.1303670641367165
4,여수연안1_연안,총인[μg/L],0.27900265506735766,0.3,0.8,multiplicative,30.21690649402742
5,여수연안1_연안,수온[℃],1.1094012180803148,0.7,0.9,multiplicative,16.513501904881913
6,여수연안1_연안,총질소[μg/L],0.3546451290087942,0.7,0.9,multiplicative,240.86488518030137
7,여수연안1_연안,용존산소[mg/L],0.6441184880064362,0.3,0.8,multiplicative,8.69852735664799
0,여수연안2_연안,투명도[m],0.666236135509834,0.3,0.9,multiplicative,2.6114287149759408
1,여수연안2_연안,화학적산소요구량[mg/L],0.2809784819765799,0.3,0.8,additive,1.535877107771843
2,여수연안2_연안,염분[psu],1.7563560181535414,0.3,0.8,multiplicative,31.967211755017296
3,여수연안2_연안,클로로필-a[μg/L],0.5684016308784835,0.7,0.9,multiplicative,1.6301974420904286
4,여수연안2_연안,총인[μg/L],0.23128513347083227,0.7,0.8,multiplicative,28.94998594499488
5,여수연안2_연안,수온[℃],1.2834308808852382,0.7,0.9,multiplicative,16.625044113268764
6,여수연안2_연안,총질소[μg/L],0.26925503234643944,0.7,0.9,multiplicative,238.54715577589027
7,여수연안2_연안,용존산소[mg/L],0.6359892032102019,0.7,0.8,multiplicative,8.632856572310121
0,여수연안3_연안,투명도[m],0.4001381969351061,0.7,0.8,multiplicative,2.3574666091132586
1,여수연안3_연안,화학적산소요구량[mg/L],0.3992783998090699,0.7,0.9,additive,1.5780376806967027
2,여수연안3_연안,염분[psu],2.263036089217908,0.3,0.8,multiplicative,32.24291501535937
3,여수연안3_연안,클로로필-a[μg/L],2.616341644647524,0.3,0.9,additive,1.6587423366372818
4,여수연안3_연안,총인[μg/L],0.13987857197733738,0.7,0.8,multiplicative,29.31699069182402
5,여수연안3_연안,수온[℃],1.1699305320830695,0.7,0.9,multiplicative,16.68833646199975
6,여수연안3_연안,총질소[μg/L],0.2730860098736185,0.7,0.9,multiplicative,206.07143545116523
7,여수연안3_연안,용존산소[mg/L],0.3724691653445693,0.5,0.8,multiplicative,8.50824876624257
0,여수연안4_연안,투명도[m],0.8258321940106333,0.7,0.9,additive,4.336342397595627
1,여수연안4_연안,화학적산소요구량[mg/L],1.2672205062526183,0.7,0.8,additive,1.4850378900100614
2,여수연안4_연안,염분[psu],1.9586340812807277,0.3,0.8,multiplicative,32.5337494381742
3,여수연안4_연안,클로로필-a[μg/L],1.7248836788384299,0.3,0.8,additive,1.297794733833096
4,여수연안4_연안,총인[μg/L],0.4325074649827282,0.7,0.8,multiplicative,19.958004052051837
5,여수연안4_연안,수온[℃],1.075406707088391,0.7,0.9,multiplicative,16.8441878159119
6,여수연안4_연안,총질소[μg/L],0.7070094328520693,0.7,0.9,multiplicative,96.14012558630134
7,여수연안4_연안,용존산소[mg/L],0.5662363631247103,0.7,0.9,multiplicative,8.592577157385005
0,여수연안5_연안,투명도[m],0.8394893440865137,0.7,0.9,additive,4.404013536171346
1,여수연안5_연안,화학적산소요구량[mg/L],0.6548907230856507,0.7,0.8,additive,1.4741970409302119
2,여수연안5_연안,염분[psu],1.9877867274008205,0.3,0.8,multiplicative,32.333401811264245
3,여수연안5_연안,클로로필-a[μg/L],1.7830129105717596,0.5,0.8,multiplicative,4.548234364575858
4,여수연안5_연안,총인[μg/L],0.2485104961113226,0.3,0.9,multiplicative,16.683453648324335
5,여수연안5_연안,수온[℃],1.2020448407608468,0.7,0.9,additive,17.63614818941057
6,여수연안5_연안,총질소[μg/L],0.5588862290582787,0.3,0.9,multiplicative,195.81581185364143
7,여수연안5_연안,용존산소[mg/L],0.5591416322847693,0.5,0.8,multiplicative,8.98870515483397
0,영일만10_연안,투명도[m],0.9004089552513685,0.7,0.8,multiplicative,6.683180792273842
1,영일만10_연안,화학적산소요구량[mg/L],0.8961808999457015,0.3,0.8,multiplicative,1.2097960696662828
2,영일만10_연안,염분[psu],0.8429641550491326,0.7,0.8,multiplicative,33.34003318551745
3,영일만10_연안,클로로필-a[μg/L],0.2571036800641391,0.3,0.8,multiplicative,1.259025788659031
4,영일만10_연안,총인[μg/L],0.49442807379132064,0.3,0.8,multiplicative,17.20002254887929
5,영일만10_연안,수온[℃],0.6535313032936527,0.5,0.9,additive,17.14710635607033
6,영일만10_연안,총질소[μg/L],0.910621111367093,0.7,0.8,multiplicative,162.891879905599
7,영일만10_연안,용존산소[mg/L],0.7680551648643485,0.3,0.8,additive,8.559662611827562
0,영일만11_연안,투명도[m],0.9977467884154443,0.3,0.9,multiplicative,7.027562387543018
1,영일만11_연안,화학적산소요구량[mg/L],0.43612000077451324,0.3,0.8,additive,1.612179457203939
2,영일만11_연안,염분[psu],0.8885770786544108,0.5,0.9,multiplicative,33.48375192470377
3,영일만11_연안,클로로필-a[μg/L],0.698139636074631,0.7,0.8,multiplicative,1.53073678001809
4,영일만11_연안,총인[μg/L],0.5896050228377244,0.7,0.9,multiplicative,14.794122366727215
5,영일만11_연안,수온[℃],0.7756651177039975,0.7,0.8,additive,16.946595625237105
6,영일만11_연안,총질소[μg/L],0.39975744023329096,0.3,0.9,multiplicative,178.51128661470867
7,영일만11_연안,용존산소[mg/L],1.2713772829742649,0.7,0.8,multiplicative,8.763313309956668
0,영일만12_연안,투명도[m],1.2106111471367178,0.5,0.9,multiplicative,9.52414831570512
1,영일만12_연안,화학적산소요구량[mg/L],0.8386394742734673,0.3,0.9,multiplicative,1.173245105391701
2,영일만12_연안,염분[psu],0.575495634362485,0.7,0.9,multiplicative,33.6921036350019
3,영일만12_연안,클로로필-a[μg/L],0.521303069141282,0.7,0.9,multiplicative,0.9183248917916079
4,영일만12_연안,총인[μg/L],0.6029932070055614,0.5,0.9,multiplicative,15.542638005043294
5,영일만12_연안,수온[℃],0.5405579930528527,0.7,0.9,multiplicative,15.872205620302523
6,영일만12_연안,총질소[μg/L],0.573316239557101,0.3,0.8,multiplicative,170.39807350165043
7,영일만12_연안,용존산소[mg/L],0.4197216054523766,0.5,0.9,multiplicative,8.8168828857265
0,영일만2_연안,투명도[m],0.7175589550067443,0.7,0.8,multiplicative,4.467903762104354
1,영일만2_연안,화학적산소요구량[mg/L],0.8368370045870045,0.7,0.9,multiplicative,1.0440050938210164
2,영일만2_연안,염분[psu],0.6949910176957197,0.7,0.9,multiplicative,32.956519298208086
3,영일만2_연안,클로로필-a[μg/L],0.5072012266426235,0.3,0.9,multiplicative,2.5055487416260487
4,영일만2_연안,총인[μg/L],0.8930511081456423,0.7,0.9,additive,15.829968617528579
5,영일만2_연안,수온[℃],0.8855336072791965,0.5,0.9,additive,16.436154732377116
6,영일만2_연안,총질소[μg/L],0.9075094412827776,0.3,0.9,multiplicative,175.91286094682292
7,영일만2_연안,용존산소[mg/L],1.250286156554886,0.3,0.9,additive,8.668685261282443
0,영일만3_연안,투명도[m],1.2063972350340344,0.3,0.8,additive,5.518297300189201
1,영일만3_연안,화학적산소요구량[mg/L],0.7100586930083145,0.7,0.8,multiplicative,1.3305694664326957
2,영일만3_연안,염분[psu],0.537553036192219,0.5,0.9,multiplicative,33.16503822027631
3,영일만3_연안,클로로필-a[μg/L],0.40663607056072515,0.3,0.8,multiplicative,2.3426002847789724
4,영일만3_연안,총인[μg/L],0.642885060355157,0.3,0.9,additive,18.979368881307987
5,영일만3_연안,수온[℃],0.8451549170115292,0.5,0.8,additive,16.45850759101588
6,영일만3_연안,총질소[μg/L],0.9176245753610727,0.3,0.9,additive,153.65418851724868
7,영일만3_연안,용존산소[mg/L],1.2782635223215588,0.5,0.9,additive,8.777284353494318
0,영일만4_연안,투명도[m],1.043510866878486,0.7,0.8,multiplicative,4.967184926346829
1,영일만4_연안,화학적산소요구량[mg/L],0.4286325486328869,0.7,0.8,multiplicative,1.190755744504989
2,영일만4_연안,염분[psu],0.8776864286865123,0.3,0.9,multiplicative,33.02682207701548
3,영일만4_연안,클로로필-a[μg/L],0.3999979764360685,0.7,0.8,multiplicative,2.846840648400477
4,영일만4_연안,총인[μg/L],0.6841689021392269,0.3,0.8,additive,17.755947307063934
5,영일만4_연안,수온[℃],0.8961053434987007,0.3,0.8,additive,16.526290985338314
6,영일만4_연안,총질소[μg/L],0.713133392478808,0.7,0.8,multiplicative,196.28109146005852
7,영일만4_연안,용존산소[mg/L],1.2924340061453703,0.5,0.9,multiplicative,9.285678402390204
0,영일만5_연안,투명도[m],0.7656450465377407,0.3,0.9,multiplicative,5.594677227746006
1,영일만5_연안,화학적산소요구량[mg/L],0.5430731729808406,0.5,0.8,multiplicative,1.270017180192208
2,영일만5_연안,염분[psu],0.9735577732230346,0.7,0.8,multiplicative,33.093705499120816
3,영일만5_연안,클로로필-a[μg/L],0.5046291931446368,0.7,0.8,multiplicative,2.4374558027972864
4,영일만5_연안,총인[μg/L],0.7755764501745603,0.3,0.9,multiplicative,16.382177201274796
5,영일만5_연안,수온[℃],0.7321012627322012,0.7,0.9,multiplicative,15.879051024197253
6,영일만5_연안,총질소[μg/L],0.6372573686253334,0.7,0.8,multiplicative,184.9873803483498
7,영일만5_연안,용존산소[mg/L],1.1032757691584907,0.7,0.8,multiplicative,9.181509614126007
0,영일만6_연안,투명도[m],0.8471041028514197,0.3,0.9,multiplicative,6.102093505349254
1,영일만6_연안,화학적산소요구량[mg/L],0.3871739018653939,0.3,0.9,multiplicative,0.8340205694035634
2,영일만6_연안,염분[psu],0.7475946436516728,0.7,0.9,multiplicative,33.326846743082434
3,영일만6_연안,클로로필-a[μg/L],0.38449991848422393,0.7,0.8,multiplicative,2.0099857597515256
4,영일만6_연안,총인[μg/L],0.5295756625042127,0.7,0.8,multiplicative,18.465887601059812
5,영일만6_연안,수온[℃],0.7635155999035621,0.7,0.9,multiplicative,15.888086254824016
6,영일만6_연안,총질소[μg/L],0.6272477436556629,0.7,0.9,multiplicative,179.94211943284589
7,영일만6_연안,용존산소[mg/L],1.3986724657912926,0.7,0.9,multiplicative,8.356290624640144
0,영일만7_연안,투명도[m],0.8918198934475398,0.7,0.9,multiplicative,6.1600483840746945
1,영일만7_연안,화학적산소요구량[mg/L],0.5881060942246799,0.5,0.9,multiplicative,0.9310625216632645
2,영일만7_연안,염분[psu],3.2769371751489262,0.3,0.9,multiplicative,33.54314560776717
3,영일만7_연안,클로로필-a[μg/L],0.40271945987512153,0.5,0.8,multiplicative,1.9947891558389048
4,영일만7_연안,총인[μg/L],0.8375004705254391,0.3,0.8,additive,14.752368487106798
5,영일만7_연안,수온[℃],0.7179705074677731,0.7,0.8,additive,16.77821102467556
6,영일만7_연안,총질소[μg/L],0.5173084084007696,0.7,0.9,multiplicative,180.72236936933487
7,영일만7_연안,용존산소[mg/L],0.7291941711839445,0.7,0.9,multiplicative,8.813558400276357
0,영일만8_연안,투명도[m],1.3282965182777287,0.3,0.9,additive,6.929327122667679
1,영일만8_연안,화학적산소요구량[mg/L],0.9334970326166482,0.7,0.8,additive,1.4079273690310663
2,영일만8_연안,염분[psu],1.460067657034042,0.5,0.8,additive,34.033991979668066
3,영일만8_연안,클로로필-a[μg/L],0.4817533030248685,0.3,0.9,multiplicative,0.4880243629456169
4,영일만8_연안,총인[μg/L],0.5436699823018574,0.3,0.9,additive,15.860065924403308
5,영일만8_연안,수온[℃],0.8041568260719368,0.7,0.8,additive,16.830403968484184
6,영일만8_연안,총질소[μg/L],0.6599752569425265,0.7,0.8,multiplicative,182.29941050180827
7,영일만8_연안,용존산소[mg/L],0.749447404239781,0.3,0.8,additive,8.725828454979995
0,영일만9_연안,투명도[m],1.3033369033577686,0.3,0.9,multiplicative,7.299822692612425
1,영일만9_연안,화학적산소요구량[mg/L],0.7427194670113464,0.5,0.9,multiplicative,0.6592563229958754
2,영일만9_연안,염분[psu],0.6746338089763138,0.7,0.8,multiplicative,33.411467608930394
3,영일만9_연안,클로로필-a[μg/L],0.4624871123605524,0.3,0.8,multiplicative,1.3595889517942128
4,영일만9_연안,총인[μg/L],0.8152186430792587,0.3,0.8,additive,16.33832391752535
5,영일만9_연안,수온[℃],0.6545621326489705,0.7,0.9,multiplicative,15.70948888395187
6,영일만9_연안,총질소[μg/L],0.905383440657806,0.7,0.8,multiplicative,156.7843942105723
7,영일만9_연안,용존산소[mg/L],0.6036761899029083,0.5,0.8,multiplicative,9.086177329345206
